step,horizon,correction_norm
640,8,0.22505846619606018
640,9,0.30702298879623413
640,10,0.21812057495117188
650,1,0.21337169408798218
650,2,0.3399275541305542
650,3,0.2132803052663803
650,4,0.3505008816719055
650,5,0.34086504578590393
650,6,0.25317731499671936
650,7,0.24293284118175507
650,8,0.17980080842971802
650,9,0.3157050609588623
650,10,0.2531733214855194
660,1,0.08682028949260712
660,2,0.0872548446059227
660,3,0.06039217486977577
660,4,0.04039568454027176
660,5,0.07485426217317581
660,6,0.058098990470170975
660,7,0.06662274897098541
660,8,0.059735286980867386
660,9,0.07199393212795258
660,10,0.05911713093519211
670,1,0.11733029782772064
670,2,0.10328292101621628
670,3,0.08473088592290878
670,4,0.09411805123090744
670,5,0.10647930949926376
670,6,0.11594799160957336
670,7,0.10302067548036575
670,8,0.12448041886091232
670,9,0.11805763840675354
670,10,0.15382876992225647
680,1,0.1232595443725586
680,2,0.1147526204586029
680,3,0.12018977850675583
680,4,0.1873321235179901
680,5,0.16214489936828613
680,6,0.12633398175239563
680,7,0.11231127381324768
680,8,0.17038284242153168
680,9,0.1770467907190323
680,10,0.11717503517866135
690,1,0.17148421704769135
690,2,0.09625870734453201
690,3,0.14849872887134552
690,4,0.2582179009914398
690,5,0.20438875257968903
690,6,0.13917362689971924
690,7,0.14214125275611877
690,8,0.16313262283802032
690,9,0.1827295571565628
690,10,0.12602370977401733
700,1,0.17607516050338745
700,2,0.1415233463048935
700,3,0.2604818642139435
700,4,0.279779851436615
700,5,0.259370356798172
700,6,0.19323775172233582
700,7,0.27505046129226685
700,8,0.16230615973472595
700,9,0.16198837757110596
700,10,0.15620291233062744
710,1,0.18244460225105286
710,2,0.17249314486980438
710,3,0.23495978116989136
710,4,0.2245045304298401
710,5,0.2711857557296753
710,6,0.22650492191314697
710,7,0.2869422137737274
710,8,0.23476365208625793
710,9,0.18221533298492432
710,10,0.15279290080070496
720,1,0.263662725687027
720,2,0.23545540869235992
720,3,0.2762869596481323
720,4,0.21142446994781494
720,5,0.3898938000202179
720,6,0.23555126786231995
720,7,0.3075422942638397
720,8,0.23226650059223175
720,9,0.2871508300304413
720,10,0.23057639598846436
730,1,0.22762028872966766
730,2,0.26456955075263977
730,3,0.20490148663520813
730,4,0.22500483691692352
730,5,0.349256694316864
730,6,0.174857497215271
730,7,0.2681078016757965
730,8,0.24506479501724243
730,9,0.27736103534698486
730,10,0.21661657094955444
740,1,0.15655270218849182
740,2,0.1904650181531906
740,3,0.11010171473026276
740,4,0.16410396993160248
740,5,0.15840353071689606
740,6,0.1315031498670578
740,7,0.23442240059375763
740,8,0.1712483912706375
740,9,0.2095574140548706
740,10,0.12393298000097275
750,1,0.2537454664707184
750,2,0.19916638731956482
750,3,0.11029732972383499
750,4,0.1906929612159729
750,5,0.14223700761795044
750,6,0.12310988456010818
750,7,0.2056744247674942
750,8,0.18655836582183838
750,9,0.17419014871120453
750,10,0.15071316063404083
